province,year,ambos_sexos,hombres,mujeres
ANDALUCÍA,2010,694400,627810,66590
ANDALUCÍA,2011,1022850,878790,144060
ANDALUCÍA,2012,997890,842840,155050
ANDALUCÍA,2013,1001310,833300,168010
ANDALUCÍA,2014,949030,783400,165630
ANDALUCÍA,2015,872870,723480,149390
ANDALUCÍA,2016,826660,684070,142590
ANDALUCÍA,2017,846930,699780,147150
ANDALUCÍA,2018,870230,723610,146620
ANDALUCÍA,2019,896340,745990,150350
ANDALUCÍA,2020,826020,701290,124730
ANDALUCÍA,2021,864750,732040,132710
ANDALUCÍA,2022,929260,784240,145020
ANDALUCÍA,2023,1010330,845140,165190
ANDALUCÍA,2024,1008450,844170,164280
ARAGÓN,2010,94200,82800,11400
ARAGÓN,2011,133540,114040,19500
ARAGÓN,2012,120210,100860,19350
ARAGÓN,2013,123490,101140,22350
ARAGÓN,2014,117060,95620,21440
ARAGÓN,2015,98710,82160,16550
ARAGÓN,2016,96850,81300,15550
ARAGÓN,2017,93240,79440,13800
ARAGÓN,2018,100430,86370,14060
ARAGÓN,2019,108870,92030,16840
ARAGÓN,2020,98740,84310,14430
ARAGÓN,2021,103150,89030,14120
ARAGÓN,2022,122470,104760,17710
ARAGÓN,2023,128890,110470,18420
ARAGÓN,2024,141350,120670,20680
ASTURIAS (PRINCIPADO DE),2010,69760,62300,7460
ASTURIAS (PRINCIPADO DE),2011,100160,86690,13470
ASTURIAS (PRINCIPADO DE),2012,99930,84000,15930
ASTURIAS (PRINCIPADO DE),2013,96160,81000,15160
ASTURIAS (PRINCIPADO DE),2014,91270,75540,15730
ASTURIAS (PRINCIPADO DE),2015,77450,64660,12790
ASTURIAS (PRINCIPADO DE),2016,74100,61300,12800
ASTURIAS (PRINCIPADO DE),2017,76060,62550,13510
ASTURIAS (PRINCIPADO DE),2018,77900,63890,14010
ASTURIAS (PRINCIPADO DE),2019,81230,65410,15820
ASTURIAS (PRINCIPADO DE),2020,70090,58040,12050
ASTURIAS (PRINCIPADO DE),2021,78610,63780,14830
ASTURIAS (PRINCIPADO DE),2022,86100,69260,16840
ASTURIAS (PRINCIPADO DE),2023,98170,78440,19730
ASTURIAS (PRINCIPADO DE),2024,97560,76940,20620
BALEARS (ILLES),2010,98830,86690,12140
BALEARS (ILLES),2011,147760,126930,20830
BALEARS (ILLES),2012,151430,127250,24180
BALEARS (ILLES),2013,163020,134070,28950
BALEARS (ILLES),2014,147070,122690,24380
BALEARS (ILLES),2015,130540,108410,22130
BALEARS (ILLES),2016,130060,110130,19930
BALEARS (ILLES),2017,133480,113190,20290
BALEARS (ILLES),2018,138480,117580,20900
BALEARS (ILLES),2019,152180,129080,23100
BALEARS (ILLES),2020,128850,110710,18140
BALEARS (ILLES),2021,147910,125000,22910
BALEARS (ILLES),2022,165380,141450,23930
BALEARS (ILLES),2023,187790,161940,25850
BALEARS (ILLES),2024,194420,165380,29040
CANARIAS,2010,188550,174480,14070
CANARIAS,2011,303690,256240,47450
CANARIAS,2012,312370,259400,52970
CANARIAS,2013,310550,258620,51930
CANARIAS,2014,287110,234610,52500
CANARIAS,2015,240930,200110,40820
CANARIAS,2016,217760,180790,36970
CANARIAS,2017,240320,198470,41850
CANARIAS,2018,242770,201750,41020
CANARIAS,2019,247200,203750,43450
CANARIAS,2020,226050,191160,34890
CANARIAS,2021,234180,199320,34860
CANARIAS,2022,239510,203100,36410
CANARIAS,2023,258380,219000,39380
CANARIAS,2024,250840,215360,35480
CANTABRIA,2010,40970,37080,3890
CANTABRIA,2011,54710,48130,6580
CANTABRIA,2012,56240,46730,9510
CANTABRIA,2013,55260,46100,9160
CANTABRIA,2014,45980,38640,7340
CANTABRIA,2015,37940,32460,5480
CANTABRIA,2016,37410,30980,6430
CANTABRIA,2017,36100,30250,5850
CANTABRIA,2018,39810,33270,6540
CANTABRIA,2019,41390,34590,6800
CANTABRIA,2020,41110,34250,6860
CANTABRIA,2021,47950,38670,9280
CANTABRIA,2022,55740,45100,10640
