ccaa,province_std,nationality,year,employed_population,unemployed_population,inactive_population,total_population
País Vasco,Araba,Africa,2010,3627.0,1502.0,2317.0,7446.0
País Vasco,Araba,Europe,2010,3315.0,976.0,1867.0,6158.0
País Vasco,Araba,Asia,2010,799.0,273.0,259.0,1331.0
País Vasco,Araba,Oceania,2010,4.0,2.0,0.0,6.0
País Vasco,Araba,Total,2010,12551.0,3964.0,7114.0,23629.0
País Vasco,Araba,America,2010,4806.0,1211.0,2671.0,8688.0
País Vasco,Araba,Africa,2015,3124.0,2918.0,2167.0,8209.0
País Vasco,Araba,Europe,2015,2789.0,1255.0,1196.0,5240.0
País Vasco,Araba,Oceania,2015,6.0,5.0,6.0,17.0
País Vasco,Araba,Asia,2015,1131.0,557.0,489.0,2177.0
País Vasco,Araba,America,2015,3444.0,1315.0,1766.0,6525.0
País Vasco,Araba,Total,2015,10494.0,6050.0,5624.0,22168.0
País Vasco,Araba,America,2016,3244.0,1088.0,2203.0,6535.0
País Vasco,Araba,Europe,2016,2592.0,919.0,1689.0,5200.0
País Vasco,Araba,Asia,2016,932.0,388.0,710.0,2030.0
País Vasco,Araba,Africa,2016,2119.0,3375.0,2969.0,8463.0
País Vasco,Araba,Oceania,2016,4.0,0.0,12.0,16.0
País Vasco,Araba,Total,2016,8891.0,5770.0,7583.0,22244.0
País Vasco,Araba,America,2018,2911.0,714.0,2723.0,6348.0
País Vasco,Araba,Oceania,2018,10.0,1.0,8.0,19.0
País Vasco,Araba,Europe,2018,2850.0,687.0,1609.0,5146.0
País Vasco,Araba,Asia,2018,997.0,295.0,721.0,2013.0
País Vasco,Araba,Africa,2018,2865.0,2835.0,3276.0,8976.0
País Vasco,Araba,Total,2018,9633.0,4532.0,8337.0,22502.0
País Vasco,Araba,Asia,2019,1084.0,281.0,726.0,2091.0
País Vasco,Araba,Total,2019,10769.0,4260.0,9305.0,24334.0
País Vasco,Araba,Africa,2019,3309.0,2631.0,3531.0,9471.0
País Vasco,Araba,Oceania,2019,9.0,2.0,7.0,18.0
País Vasco,Araba,America,2019,3330.0,674.0,3365.0,7369.0
País Vasco,Araba,Europe,2019,3037.0,672.0,1676.0,5385.0
País Vasco,Araba,Africa,2020,3427.0,2509.0,3971.0,9907.0
País Vasco,Araba,Europe,2020,3172.0,614.0,1694.0,5480.0
País Vasco,Araba,Oceania,2020,10.0,0.0,5.0,15.0
País Vasco,Araba,Asia,2020,1112.0,260.0,786.0,2158.0
País Vasco,Araba,Total,2020,11368.0,4084.0,10718.0,26170.0
País Vasco,Araba,America,2020,3647.0,701.0,4262.0,8610.0
País Vasco,Araba,Africa,2021,3131.0,2532.0,4009.0,9672.0
País Vasco,Araba,Asia,2021,1062.0,270.0,811.0,2143.0
País Vasco,Araba,Total,2021,11274.0,4396.0,10242.0,25912.0
País Vasco,Araba,Europe,2021,3058.0,743.0,1532.0,5333.0
País Vasco,Araba,Oceania,2021,7.0,3.0,3.0,13.0
País Vasco,Araba,America,2021,4016.0,848.0,3887.0,8751.0
País Vasco,Araba,Europe,2022,3127.0,505.0,1780.0,5412.0
País Vasco,Araba,Asia,2022,1131.0,253.0,866.0,2250.0
País Vasco,Araba,Total,2022,12034.0,3689.0,11489.0,27212.0
País Vasco,Araba,America,2022,4442.0,656.0,4266.0,9364.0
País Vasco,Araba,Africa,2022,3328.0,2273.0,4572.0,10173.0
País Vasco,Araba,Oceania,2022,6.0,2.0,5.0,13.0
País Vasco,Araba,Total,2023,13128.0,3820.0,11520.0,28468.0
País Vasco,Araba,Asia,2023,1180.0,249.0,826.0,2255.0
País Vasco,Araba,America,2023,4942.0,670.0,5010.0,10622.0
País Vasco,Araba,Africa,2023,3758.0,2388.0,3903.0,10049.0
País Vasco,Araba,Oceania,2023,5.0,2.0,7.0,14.0
País Vasco,Araba,Europe,2023,3243.0,511.0,1774.0,5528.0
País Vasco,Araba,Asia,2024,1151.0,231.0,973.0,2355.0
País Vasco,Araba,Oceania,2024,9.0,1.0,8.0,18.0
País Vasco,Araba,Europe,2024,3182.0,449.0,2033.0,5664.0
País Vasco,Araba,Africa,2024,3882.0,2443.0,4349.0,10674.0
País Vasco,Araba,America,2024,6182.0,566.0,5839.0,12587.0
País Vasco,Araba,Total,2024,14406.0,3690.0,13202.0,31298.0
