province_std,year,foreign_population,total_population,foreign_population_pct
Araba,2010,23629,318688,7.41
Araba,2015,22168,321077,6.9
Araba,2016,22244,322706,6.89
Araba,2018,22502,326419,6.89
Araba,2019,24334,328574,7.41
Araba,2020,26170,330157,7.93
Araba,2021,25912,329209,7.87
Araba,2022,27212,331103,8.22
Bizkaia,2010,60349,1155975,5.22
Bizkaia,2015,58835,1134756,5.18
Bizkaia,2016,60478,1134144,5.33
Bizkaia,2018,61862,1135052,5.45
Bizkaia,2019,68429,1138930,6.01
Bizkaia,2020,77482,1142318,6.78
Bizkaia,2021,76542,1134830,6.74
Bizkaia,2022,78364,1135269,6.9
Gipuzkoa,2010,36327,706424,5.14
Gipuzkoa,2015,40511,707153,5.73
Gipuzkoa,2016,41856,708249,5.91
Gipuzkoa,2018,42655,710796,6.0
Gipuzkoa,2019,46501,714415,6.51
Gipuzkoa,2020,51095,716897,7.13
Gipuzkoa,2021,50874,713787,7.13
Gipuzkoa,2022,52062,714907,7.28
