year,territory,nationality,sector,men,women,total
2008,Total Nacional,Doble nacionalidad,Agricultura,1.5,1.1,2.6
2008,Total Nacional,Doble nacionalidad,Construcción,22.1,1.2,23.3
2008,Total Nacional,Doble nacionalidad,Industria,16.6,8.2,24.9
2008,Total Nacional,Doble nacionalidad,Servicios,52.8,104.1,156.9
2008,Total Nacional,Doble nacionalidad,Total,93.0,114.6,207.7
2008,Total Nacional,Española,Agricultura,488.5,184.3,672.8
2008,Total Nacional,Española,Construcción,1684.5,164.0,1848.5
2008,Total Nacional,Española,Industria,2169.7,713.5,2883.2
2008,Total Nacional,Española,Servicios,5784.8,6235.0,12019.8
2008,Total Nacional,Española,Total,10127.5,7296.8,17424.3
2008,Total Nacional,Extranjera: América Latina,Agricultura,33.1,18.0,51.1
2008,Total Nacional,Extranjera: América Latina,Construcción,263.0,5.2,268.2
2008,Total Nacional,Extranjera: América Latina,Industria,93.5,33.0,126.5
2008,Total Nacional,Extranjera: América Latina,Servicios,264.6,642.6,907.2
2008,Total Nacional,Extranjera: América Latina,Total,654.2,698.7,1352.9
2008,Total Nacional,Extranjera: Resto de Europa,Agricultura,2.5,2.4,4.9
2008,Total Nacional,Extranjera: Resto de Europa,Construcción,22.9,0.8,23.8
2008,Total Nacional,Extranjera: Resto de Europa,Industria,7.1,2.5,9.6
2008,Total Nacional,Extranjera: Resto de Europa,Servicios,14.9,55.1,70.0
2008,Total Nacional,Extranjera: Resto de Europa,Total,47.5,60.9,108.4
2008,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,50.2,4.1,54.3
2008,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,115.6,1.4,117.0
2008,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,72.4,8.9,81.3
2008,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,155.3,114.4,269.7
2008,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,393.5,128.8,522.2
2008,Total Nacional,Extranjera: Total,Agricultura,115.5,37.3,152.8
2008,Total Nacional,Extranjera: Total,Construcción,575.6,12.4,588.0
2008,Total Nacional,Extranjera: Total,Industria,254.9,73.7,328.7
2008,Total Nacional,Extranjera: Total,Servicios,638.6,1129.6,1768.2
2008,Total Nacional,Extranjera: Total,Total,1584.7,1253.0,2837.7
2008,Total Nacional,Extranjera: Unión Europea,Agricultura,29.7,12.8,42.5
2008,Total Nacional,Extranjera: Unión Europea,Construcción,174.1,4.9,179.1
2008,Total Nacional,Extranjera: Unión Europea,Industria,82.0,29.3,111.3
2008,Total Nacional,Extranjera: Unión Europea,Servicios,203.7,317.6,521.3
2008,Total Nacional,Extranjera: Unión Europea,Total,489.6,364.6,854.1
