year,territory,nationality,men,women,total
2008,Total Nacional,Doble nacionalidad,93.0,114.6,207.7
2008,Total Nacional,Española,10127.5,7296.8,17424.3
2008,Total Nacional,Extranjera: América Latina,654.2,698.7,1352.9
2008,Total Nacional,Extranjera: Resto de Europa,47.5,60.9,108.4
2008,Total Nacional,Extranjera: Resto del mundo y apátrida,393.5,128.8,522.2
2008,Total Nacional,Extranjera: Total,1584.7,1253.0,2837.7
2008,Total Nacional,Extranjera: Unión Europea,489.6,364.6,854.1
2008,Total Nacional,Total,11805.2,8664.5,20469.7
2009,Total Nacional,Doble nacionalidad,97.1,119.9,216.9
2009,Total Nacional,Española,9291.7,7055.3,16347.0
2009,Total Nacional,Extranjera: América Latina,543.3,658.6,1201.9
2009,Total Nacional,Extranjera: Resto de Europa,40.8,47.1,87.9
2009,Total Nacional,Extranjera: Resto del mundo y apátrida,328.3,122.3,450.6
2009,Total Nacional,Extranjera: Total,1344.3,1198.6,2542.9
2009,Total Nacional,Extranjera: Unión Europea,432.0,370.6,802.6
2009,Total Nacional,Total,10733.1,8373.8,19106.9
2010,Total Nacional,Doble nacionalidad,116.1,134.9,251.1
2010,Total Nacional,Española,9034.1,6989.0,16023.1
2010,Total Nacional,Extranjera: América Latina,492.1,649.4,1141.5
2010,Total Nacional,Extranjera: Resto de Europa,46.8,53.6,100.4
2010,Total Nacional,Extranjera: Resto del mundo y apátrida,310.9,114.9,425.7
2010,Total Nacional,Extranjera: Total,1273.4,1176.9,2450.3
2010,Total Nacional,Extranjera: Unión Europea,423.6,359.0,782.7
2010,Total Nacional,Total,10423.7,8300.8,18724.5
2011,Total Nacional,Doble nacionalidad,131.3,160.2,291.4
2011,Total Nacional,Española,8845.1,6985.3,15830.4
2011,Total Nacional,Extranjera: América Latina,443.3,578.0,1021.4
2011,Total Nacional,Extranjera: Resto de Europa,47.9,65.3,113.2
2011,Total Nacional,Extranjera: Resto del mundo y apátrida,305.3,117.0,422.3
2011,Total Nacional,Extranjera: Total,1176.1,1123.5,2299.6
2011,Total Nacional,Extranjera: Unión Europea,379.6,363.2,742.7
2011,Total Nacional,Total,10152.5,8268.9,18421.4
2012,Total Nacional,Doble nacionalidad,137.9,157.5,295.4
2012,Total Nacional,Española,8406.7,6823.8,15230.5
2012,Total Nacional,Extranjera: América Latina,351.6,494.5,846.1
2012,Total Nacional,Extranjera: Resto de Europa,39.7,58.9,98.6
2012,Total Nacional,Extranjera: Resto del mundo y apátrida,300.4,126.4,426.8
2012,Total Nacional,Extranjera: Total,1063.6,1043.2,2106.8
2012,Total Nacional,Extranjera: Unión Europea,371.9,363.5,735.3
2012,Total Nacional,Total,9608.2,8024.5,17632.7
2013,Total Nacional,Doble nacionalidad,127.6,165.6,293.1
2013,Total Nacional,Española,8216.6,6703.6,14920.2
2013,Total Nacional,Extranjera: América Latina,278.2,415.7,693.9
2013,Total Nacional,Extranjera: Resto de Europa,31.4,54.9,86.3
2013,Total Nacional,Extranjera: Resto del mundo y apátrida,290.3,131.7,422.0
2013,Total Nacional,Extranjera: Total,971.6,954.1,1925.6
2013,Total Nacional,Extranjera: Unión Europea,371.7,351.8,723.5
2013,Total Nacional,Total,9315.8,7823.2,17139.0
2014,Total Nacional,Doble nacionalidad,155.3,188.7,344.0
2014,Total Nacional,Española,8335.1,6820.3,15155.5
2014,Total Nacional,Extranjera: América Latina,256.1,356.3,612.4
2014,Total Nacional,Extranjera: Resto de Europa,32.8,55.5,88.3
