province,province_std,year,total_population
Araba/Álava,Araba,1971,202665
Araba/Álava,Araba,1972,208303
Araba/Álava,Araba,1973,214139
Araba/Álava,Araba,1974,220074
Araba/Álava,Araba,1975,226087
Araba/Álava,Araba,1976,231985
Araba/Álava,Araba,1977,237956
Araba/Álava,Araba,1978,243698
Araba/Álava,Araba,1979,249333
Araba/Álava,Araba,1980,254528
Araba/Álava,Araba,1981,258782
Araba/Álava,Araba,1982,261298
Araba/Álava,Araba,1983,263410
Araba/Álava,Araba,1984,265359
Araba/Álava,Araba,1985,267140
Araba/Álava,Araba,1986,268532
Araba/Álava,Araba,1987,269753
Araba/Álava,Araba,1988,270842
Araba/Álava,Araba,1989,271734
Araba/Álava,Araba,1990,272282
Araba/Álava,Araba,1991,272992
Araba/Álava,Araba,1992,274463
Araba/Álava,Araba,1993,275922
Araba/Álava,Araba,1994,277251
Araba/Álava,Araba,1995,278399
Araba/Álava,Araba,1996,279508
Araba/Álava,Araba,1997,280790
Araba/Álava,Araba,1998,281968
Araba/Álava,Araba,1999,283217
Araba/Álava,Araba,2000,284445
Araba/Álava,Araba,2001,285906
Araba/Álava,Araba,2002,288500
Araba/Álava,Araba,2003,292440
Araba/Álava,Araba,2004,296305
Araba/Álava,Araba,2005,300724
Araba/Álava,Araba,2006,304299
Araba/Álava,Araba,2007,308653
Araba/Álava,Araba,2008,313154
Araba/Álava,Araba,2009,316720
Araba/Álava,Araba,2010,318688
Araba/Álava,Araba,2011,320546
Araba/Álava,Araba,2012,319786
Araba/Álava,Araba,2013,319774
Araba/Álava,Araba,2014,320297
Araba/Álava,Araba,2015,321077
Araba/Álava,Araba,2016,322706
Araba/Álava,Araba,2017,324569
Araba/Álava,Araba,2018,326419
Araba/Álava,Araba,2019,328574
Araba/Álava,Araba,2020,330157
Araba/Álava,Araba,2021,329209
Araba/Álava,Araba,2022,331103
Bizkaia,Bizkaia,1971,1050143
Bizkaia,Bizkaia,1972,1067273
Bizkaia,Bizkaia,1973,1084301
Bizkaia,Bizkaia,1974,1101324
Bizkaia,Bizkaia,1975,1117454
Bizkaia,Bizkaia,1976,1133452
Bizkaia,Bizkaia,1977,1149245
Bizkaia,Bizkaia,1978,1163284
Bizkaia,Bizkaia,1979,1174653
Bizkaia,Bizkaia,1980,1184216
