territory,year,poverty_rate
Andalucía,2008,27.3
Andalucía,2009,28.8
Andalucía,2010,28.3
Andalucía,2011,30.7
Andalucía,2012,28.3
Andalucía,2013,29.1
Andalucía,2014,33.3
Andalucía,2015,35.7
Andalucía,2016,35.4
Andalucía,2017,31.0
Andalucía,2018,32.0
Andalucía,2019,31.3
Andalucía,2020,28.5
Andalucía,2021,32.3
Andalucía,2022,29.1
Andalucía,2023,30.5
Andalucía,2024,29.2
Andalucía,2025,27.7
Aragón,2008,14.9
Aragón,2009,11.3
Aragón,2010,14.2
Aragón,2011,15.5
Aragón,2012,14.5
Aragón,2013,16.1
Aragón,2014,16.9
Aragón,2015,14.4
Aragón,2016,15.7
Aragón,2017,13.3
Aragón,2018,14.2
Aragón,2019,17.9
Aragón,2020,16.0
Aragón,2021,15.8
Aragón,2022,15.0
Aragón,2023,15.1
Aragón,2024,15.1
Aragón,2025,13.6
"Asturias, Principado de",2008,13.2
"Asturias, Principado de",2009,13.0
"Asturias, Principado de",2010,11.5
"Asturias, Principado de",2011,14.1
"Asturias, Principado de",2012,13.0
"Asturias, Principado de",2013,14.1
"Asturias, Principado de",2014,16.7
"Asturias, Principado de",2015,16.7
"Asturias, Principado de",2016,13.4
"Asturias, Principado de",2017,12.6
"Asturias, Principado de",2018,14.0
"Asturias, Principado de",2019,20.7
"Asturias, Principado de",2020,22.2
"Asturias, Principado de",2021,20.4
"Asturias, Principado de",2022,20.1
"Asturias, Principado de",2023,18.6
"Asturias, Principado de",2024,15.6
"Asturias, Principado de",2025,17.2
"Balears, Illes",2008,18.1
"Balears, Illes",2009,18.1
"Balears, Illes",2010,22.7
"Balears, Illes",2011,21.0
"Balears, Illes",2012,19.9
"Balears, Illes",2013,19.8
"Balears, Illes",2014,17.9
"Balears, Illes",2015,21.7
"Balears, Illes",2016,15.5
"Balears, Illes",2017,21.3
"Balears, Illes",2018,15.4
"Balears, Illes",2019,12.0
"Balears, Illes",2020,14.1
"Balears, Illes",2021,17.6
"Balears, Illes",2022,16.9
"Balears, Illes",2023,15.3
"Balears, Illes",2024,11.3
"Balears, Illes",2025,11.6
Canarias,2008,30.7
Canarias,2009,30.4
Canarias,2010,29.7
Canarias,2011,30.1
Canarias,2012,33.6
Canarias,2013,28.4
Canarias,2014,27.6
Canarias,2015,28.5
Canarias,2016,35.0
Canarias,2017,30.5
Canarias,2018,32.1
Canarias,2019,28.5
