year,province_std,spanish_nationality,foreign_nationality,total
2015,Araba,59.0,72.9,60.0
2015,Bizkaia,56.0,77.0,57.2
2015,Gipuzkoa,56.4,77.4,58.1
2015,País Vasco,56.6,76.5,57.9
2016,Araba,58.3,62.9,58.6
2016,Bizkaia,55.7,75.0,56.9
2016,Gipuzkoa,55.9,73.6,57.1
2016,País Vasco,56.1,72.4,57.2
2017,Araba,57.5,66.7,58.3
2017,Bizkaia,54.9,74.7,56.1
2017,Gipuzkoa,56.0,64.2,56.6
2017,País Vasco,55.6,69.4,56.6
2018,Araba,57.6,73.2,59.1
2018,Bizkaia,55.1,74.0,56.3
2018,Gipuzkoa,55.7,66.4,56.5
2018,País Vasco,55.7,71.2,56.7
2019,Araba,57.8,69.8,59.1
2019,Bizkaia,55.1,70.7,56.1
2019,Gipuzkoa,56.2,67.1,57.0
2019,País Vasco,55.8,69.4,56.9
2020,Araba,56.5,71.5,58.1
2020,Bizkaia,53.7,72.1,55.0
2020,Gipuzkoa,55.4,61.4,55.9
2020,País Vasco,54.6,68.5,55.8
2021,Araba,57.5,67.7,58.6
2021,Bizkaia,54.1,72.0,55.4
2021,Gipuzkoa,55.9,62.4,56.5
2021,País Vasco,55.2,67.9,56.2
2022,Araba,56.8,62.5,57.5
2022,Bizkaia,54.7,69.3,55.9
2022,Gipuzkoa,56.3,65.8,57.1
2022,País Vasco,55.5,66.9,56.5
2023,Araba,57.0,58.0,57.1
2023,Bizkaia,54.5,68.1,55.7
2023,Gipuzkoa,55.3,70.0,56.7
2023,País Vasco,55.1,66.8,56.2
2024,Araba,57.4,59.2,57.6
2024,Bizkaia,54.6,66.2,55.7
2024,Gipuzkoa,55.9,69.8,57.3
2024,País Vasco,55.5,66.4,56.5
2025,Araba,57.0,65.2,57.9
2025,Bizkaia,54.4,63.5,55.3
2025,Gipuzkoa,55.8,65.3,56.6
2025,País Vasco,55.3,64.3,56.1
