province_std,region,province_original,year,nationality,total_detentions
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Alemania,20
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Argelia,920
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Argentina,40
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2010,Bangladesh,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Bélgica,10
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Bolivia,90
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Brasil,100
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Bulgaría,100
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Camerún,240
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Chile,0
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2010,China,20
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Colombia,620
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Cuba,70
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Ecuador,180
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2010,Filipinas,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Francia,80
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Gambia,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Ghana,40
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Guinea Bisau,40
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Guinea Ecuatorial,60
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Holanda,10
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2010,India,0
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2010,Irán,10
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Italia,50
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Lituania,0
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Mali,70
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Marruecos,1680
Araba,CONTINENTE AFRICANO,Araba/Álava,2010,Nigeria,50
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2010,Paquistán,80
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Paraguay,80
Araba,CONTINENTE AMERICANO,Araba/Álava,2010,Perú,150
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Polonia,50
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Portugal,300
Araba,CONTINENTE EUROPEO,Araba/Álava,2010,Reino Unido,10
