year,province_std,spanish_nationality,foreign_nationality,total
2015,Araba,51.2,37.0,50.2
2015,Bizkaia,47.8,42.9,47.5
2015,Gipuzkoa,50.5,49.0,50.3
2015,País Vasco,49.1,44.3,48.8
2016,Araba,51.9,33.6,50.4
2016,Bizkaia,48.1,50.1,48.2
2016,Gipuzkoa,50.9,47.8,50.6
2016,País Vasco,49.5,46.4,49.3
2017,Araba,52.3,42.6,51.4
2017,Bizkaia,48.5,54.1,48.8
2017,Gipuzkoa,52.0,43.1,51.3
2017,País Vasco,50.2,48.0,50.0
2018,Araba,52.9,49.2,52.5
2018,Bizkaia,49.4,52.7,49.6
2018,Gipuzkoa,52.0,51.4,51.9
2018,País Vasco,50.7,51.5,50.8
2019,Araba,53.2,49.0,52.8
2019,Bizkaia,49.6,54.0,49.9
2019,Gipuzkoa,52.9,51.4,52.8
2019,País Vasco,51.2,52.1,51.3
2020,Araba,51.9,50.1,51.7
2020,Bizkaia,48.3,50.2,48.5
2020,Gipuzkoa,51.8,45.0,51.3
2020,País Vasco,50.0,48.5,49.9
2021,Araba,53.1,46.3,52.4
2021,Bizkaia,48.9,52.9,49.2
2021,Gipuzkoa,52.3,48.8,52.0
2021,País Vasco,50.6,50.2,50.6
2022,Araba,52.6,47.2,52.0
2022,Bizkaia,50.3,55.3,50.7
2022,Gipuzkoa,53.1,52.8,53.1
2022,País Vasco,51.6,53.0,51.7
2023,Araba,53.6,46.0,52.7
2023,Bizkaia,50.6,53.4,50.9
2023,Gipuzkoa,52.6,56.4,53.0
2023,País Vasco,51.7,53.0,51.8
2024,Araba,54.1,46.3,53.3
2024,Bizkaia,50.9,51.3,51.0
2024,Gipuzkoa,53.3,60.8,54.0
2024,País Vasco,52.1,53.8,52.3
2025,Araba,54.2,53.1,54.1
2025,Bizkaia,51.0,53.0,51.2
2025,Gipuzkoa,53.3,58.8,53.9
2025,País Vasco,52.3,54.8,52.5
