year,province_std,spanish_nationality,foreign_nationality,total
2015,Araba,13.3,49.2,16.3
2015,Bizkaia,14.7,44.3,17.0
2015,Gipuzkoa,10.6,36.7,13.3
2015,País Vasco,13.2,42.1,15.7
2016,Araba,11.0,46.6,14.1
2016,Bizkaia,13.7,33.2,15.3
2016,Gipuzkoa,8.9,35.1,11.3
2016,País Vasco,11.8,35.9,13.8
2017,Araba,9.0,36.2,11.9
2017,Bizkaia,11.7,27.6,12.9
2017,Gipuzkoa,7.2,32.8,9.3
2017,País Vasco,9.8,30.9,11.6
2018,Araba,8.2,32.8,11.2
2018,Bizkaia,10.4,28.7,11.9
2018,Gipuzkoa,6.7,22.6,8.1
2018,País Vasco,8.9,27.6,10.5
2019,Araba,8.0,29.8,10.8
2019,Bizkaia,9.9,23.6,11.1
2019,Gipuzkoa,5.8,23.3,7.4
2019,País Vasco,8.3,24.8,9.8
2020,Araba,8.2,29.9,11.0
2020,Bizkaia,9.9,30.4,11.9
2020,Gipuzkoa,6.5,26.6,8.2
2020,País Vasco,8.5,29.2,10.6
2021,Araba,7.6,31.6,10.6
2021,Bizkaia,9.6,26.6,11.2
2021,Gipuzkoa,6.5,21.8,7.9
2021,País Vasco,8.3,26.1,10.0
2022,Araba,7.4,24.4,9.5
2022,Bizkaia,8.1,20.2,9.3
2022,Gipuzkoa,5.6,19.6,7.0
2022,País Vasco,7.2,20.8,8.6
2023,Araba,6.0,20.6,7.7
2023,Bizkaia,7.1,21.6,8.7
2023,Gipuzkoa,4.8,19.4,6.5
2023,País Vasco,6.2,20.7,7.8
2024,Araba,5.8,21.9,7.5
2024,Bizkaia,6.8,22.5,8.5
2024,Gipuzkoa,4.7,13.0,5.7
2024,País Vasco,6.0,18.9,7.4
2025,Araba,4.9,18.6,6.4
2025,Bizkaia,6.3,16.5,7.4
2025,Gipuzkoa,4.3,10.0,4.9
2025,País Vasco,5.4,14.7,6.4
